binWidth,n,NFDH_Height,NFDH_Time,FFDH_Height,FFDH_Time
1000,1000,95888,0.000000,77855,0.000000
1000,10000,1016408,1.000000,784821,3.000000
1000,3000,299953,0.000000,239352,1.000000
1000,30000,3109031,1.000000,2330112,32.000000
1000,5000,492235,0.000000,389205,2.000000
1000,50000,5198569,3.000000,3878967,95.000000
1000,8000,806917,1.000000,625385,2.000000
2000,1000,94967,0.000000,78062,0.000000
2000,10000,1012342,1.000000,780591,4.000000
2000,3000,284736,0.000000,228495,0.000000
2000,30000,3115245,1.000000,2330253,33.000000
2000,5000,502267,0.000000,392517,2.000000
2000,50000,5139270,3.000000,3838305,91.000000
2000,8000,791763,0.000000,613826,3.000000
5000,1000,96446,0.000000,78094,0.000000
5000,10000,998011,1.000000,769880,4.000000
5000,3000,297932,0.000000,235773,1.000000
5000,30000,3049149,2.000000,2295403,34.000000
5000,5000,487101,0.000000,386437,1.000000
5000,50000,5110137,3.000000,3811699,92.000000
5000,8000,781662,1.000000,610577,3.000000
